RoMEO Record ID	Publisher	Policy Heading	Country	RoMEO colour	Published Permission	Published Restrictions	Published Max embargo	Accepted Permission	Accepted Restrictions	Accepted Max embargo	Submitted Permission	Submitted Restrictions	Submitted Max embargo	Open Access Publishing	Record Status	Updated
730	"Agricultural History Society"	[Default policy]	US	white	cannot	FALSE		restricted	FALSE	6	cannot	FALSE			public	2013-09-17
789	"Agricultural Institute of Canada"	[Default policy]	CA	blue	can	FALSE		cannot	FALSE		unclear	FALSE		Paid OA options	public	2013-09-17
735	"AgroParisTech, ENGREF"	[Default policy]	FR	green	cannot	FALSE		can	FALSE		can	FALSE			public	2010-02-11
1494	"Agrárgazdasági Kutató Intézet"	[Default policy]	HU	green	can	FALSE		can	FALSE		can	FALSE			public	2013-04-05
3009	"AI Access Foundation"	[Default policy]	US	blue	unknown	FALSE		can	FALSE		unclear	FALSE			public	2017-04-04
2782	"AIMS Press"	[Default policy]	US	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2016-05-06
1383	"AIP Publishing"	"Open Access Journals"	US	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2014-12-11
7	"AIP Publishing"	[Default policy]	US	green	restricted	FALSE		can	FALSE		can	FALSE		Paid OA options	public	2016-07-18
594	"AK Peters"	[Default policy]	US	green	cannot	FALSE		can	FALSE		can	FALSE			public	2011-03-29
984	"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie (AGH University of Science and Technology)"	[Default policy]	PL	green	can	FALSE		cannot	FALSE		can	FALSE			public	2011-05-13
926	"Akademie Verlag"	[Default policy]	DE	yellow	restricted	FALSE	12	restricted	FALSE	12	can	FALSE		Paid OA options	public	2013-10-29
1199	"Akademie věd České republiky, Knihovna"	"Knihy a dejiny"	CZ	white	restricted	FALSE	24	cannot	FALSE		cannot	FALSE			public	2014-01-20
1194	"Akademie věd České republiky, Knihovna"	[Default policy]	CZ	green	can	FALSE		can	FALSE		can	FALSE			public	2013-01-18
1413	"Akademie věd České republiky, Matematický ústav"	"Mathematica Bohemica"	CZ	green	can	FALSE		can	FALSE		can	FALSE			public	2013-03-04
1412	"Akademie věd České republiky, Matematický ústav"	[Default policy]	CZ	green	can	FALSE		can	FALSE		can	FALSE			public	2013-03-04
231	"Akademie věd České republiky, Národohospodářský ústav"	[Default policy]	CZ	green	can	FALSE		can	FALSE		can	FALSE			public	2013-01-18
827	"Akademika Forlag"	[Default policy]	NO	white	restricted	FALSE	6	cannot	FALSE		cannot	FALSE			public	2015-09-09
3112	"Akadémiai Kiadó"	"Open Access Journal"	HU	green	can	FALSE		can	FALSE		can	FALSE			public	2017-10-19
365	"Akadémiai Kiadó"	[Default policy]	HU	green	cannot	FALSE		can	FALSE		can	FALSE		Paid OA options	public	2016-06-07
1684	"Akdeniz Üniversitesi, Turizm Fakültesi"	[Default policy]	TR	blue	can	FALSE		can	FALSE		cannot	FALSE		All journals OA	public	2013-10-17
2039	"AkiNik Publications"	[Default policy]	IN	blue	can	FALSE		cannot	FALSE		cannot	FALSE		All journals OA	public	2014-08-05
1454	"AKROASIS"	[Default policy]	RS	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2013-03-04
2370	"Al-Qadisisiayh University, College of Engineering"	[Default policy]	IQ	green	can	FALSE		can	FALSE		can	FALSE			public	2015-06-25
699	"Ala (Schweizerische Gesellschaft fuer Vogelkunde und Vogelschutz)"	[Default policy]	CH	blue	can	FALSE		can	FALSE		cannot	FALSE			public	2009-12-16
447	"Alberta Law Review Society"	[Default policy]	US	white	unknown	FALSE		cannot	FALSE		cannot	FALSE			public	2008-08-14
1361	"Alcohol Research Documentation"	[Default policy]	US	white	cannot	FALSE		restricted	FALSE	12	cannot	FALSE		Paid OA options	public	2017-06-26
2651	"Aletheia - Associação Científica e Cultural"	[Default policy]	PT	white	cannot	FALSE		cannot	FALSE		cannot	FALSE			public	2015-09-03
471	"Alexander Graham Bell Association for the Deaf and Hard of Hearing"	[Default policy]	US	white	unknown	FALSE		cannot	FALSE		cannot	FALSE			public	2008-10-20
468	"Alexandrine Press"	[Default policy]	GB	yellow	cannot	FALSE		restricted	FALSE	12	can	FALSE			public	2010-06-24
759	"Alliance for Strong Families and Communities"	[Default policy]	US	green	cannot	FALSE		can	FALSE		can	FALSE			public	2016-02-09
2448	"Alliance of Digital Humanities Organizations"	[Default policy]	US	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2015-08-11
2766	"Alma Mater Studiorum - Università di Bologna (University of Bologna)"	"Creative Commons Attribution Non-Commercial No Derivatives"	IT	green	can	FALSE		can	FALSE		can	FALSE			public	2016-04-19
2770	"Alma Mater Studiorum - Università di Bologna (University of Bologna)"	"Creative Commons Attribution Non-Commercial PDF Only"	IT	blue	can	FALSE		cannot	FALSE		cannot	FALSE			public	2016-04-19
2756	"Alma Mater Studiorum - Università di Bologna (University of Bologna)"	"Creative Commons Attribution Non-Commercial"	IT	blue	can	FALSE		can	FALSE		cannot	FALSE			public	2016-03-24
2236	"Alma Mater Studiorum - Università di Bologna (University of Bologna)"	"Creative Commons Attribution Share Alike"	IT	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2015-02-19
2767	"Alma Mater Studiorum - Università di Bologna (University of Bologna)"	"Danza e Ricerca"	IT	green	can	FALSE		can	FALSE		can	FALSE			public	2016-04-19
2237	"Alma Mater Studiorum - Università di Bologna (University of Bologna)"	"No Pre-print"	IT	blue	can	FALSE		can	FALSE		cannot	FALSE		All journals OA	public	2015-02-19
2235	"Alma Mater Studiorum - Università di Bologna (University of Bologna)"	"PDF Only"	IT	blue	can	FALSE		cannot	FALSE		cannot	FALSE		All journals OA	public	2015-02-19
2238	"Alma Mater Studiorum - Università di Bologna (University of Bologna)"	"Publisher retains copyright"	IT	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2015-02-19
2769	"Alma Mater Studiorum - Università di Bologna (University of Bologna)"	"Ricerche di Pedagogia e Didattica"	IT	blue	can	FALSE		cannot	FALSE		cannot	FALSE			public	2016-04-19
2768	"Alma Mater Studiorum - Università di Bologna (University of Bologna)"	"Studi Tributari Europei"	IT	blue	can	FALSE		cannot	FALSE		cannot	FALSE			public	2016-04-19
2234	"Alma Mater Studiorum - Università di Bologna (University of Bologna)"	[Default policy]	IT	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2015-04-22
1502	"AlphaMed Press"	"Oncologist"	US	white	cannot	FALSE		restricted	FALSE	6	cannot	FALSE			public	2015-04-22
2269	"AlphaMed Press"	"STEM CELLS Translational Medicine"	US	white	cannot	FALSE		restricted	FALSE	6	cannot	FALSE			public	2015-10-23
235	"AlphaMed Press"	[Default policy]	US	white	cannot	FALSE		restricted	FALSE	6	cannot	FALSE		Paid OA options	public	2015-04-22
2310	"ALTEX Edition"	[Default policy]	CH	green	can	FALSE		cannot	FALSE		can	FALSE		All journals OA	public	2015-06-17
1857	"Alue- ja ympäristötutkimuksen seura"	[Default policy]	FI	white	restricted	FALSE	12	cannot	FALSE		unclear	FALSE			public	2014-04-15
314	"American Academy of Audiology"	[Default policy]	US	white	unknown	FALSE		cannot	FALSE		cannot	FALSE			public	2009-02-16
389	"American Academy of Business"	[Default policy]	US	white	unknown	FALSE		cannot	FALSE		cannot	FALSE			public	2008-01-03
398	"American Academy of Family Physicians (AAFP)"	[Default policy]	US	white	unknown	FALSE		restricted	TRUE		unclear	FALSE			public	2011-05-11
317	"American Academy of Implant Dentistry"	[Default policy]	US	white	cannot	FALSE		unclear	FALSE		unclear	FALSE			public	2014-10-30
287	"American Academy of Neurology (AAN)"	[Default policy]	US	white	restricted	FALSE		cannot	FALSE		cannot	FALSE		Paid OA options	public	2017-12-14
760	"American Academy of Pediatric Dentistry"	[Default policy]	US	white	restricted	TRUE		cannot	FALSE		unclear	FALSE			public	2015-06-10
293	"American Academy of Pediatrics"	[Default policy]	US	white	cannot	FALSE		restricted	TRUE	12	cannot	FALSE			public	2017-12-07
497	"American Academy of Sleep Medicine"	[Default policy]	US	white	cannot	FALSE		restricted	FALSE	6	cannot	FALSE			public	2018-01-30
633	"American Accounting Association"	[Default policy]	US	white	cannot	FALSE		cannot	FALSE		cannot	FALSE			public	2016-07-28
752	"American Alliance for Health, Physical Education, Recreation and Dance"	[Default policy]	US	white	cannot	FALSE		cannot	FALSE		cannot	FALSE			public	2010-03-29
110	"American Anthropological Association"	[Default policy]	US	green	cannot	FALSE		can	FALSE		can	FALSE		Paid OA options	public	2014-07-09
2228	"American Anthropological Association, Society for Cultural Anthropology"	[Default policy]	US	green	can	FALSE		can	FALSE		can	FALSE			public	2016-04-15
916	"American Antiquarian Society"	[Default policy]	US	white	cannot	FALSE		cannot	FALSE		cannot	FALSE			public	2010-11-29
989	"American Arachnological Society"	[Default policy]	US	blue	restricted	FALSE		can	FALSE		cannot	FALSE		Paid OA options	public	2011-05-25
204	"American Association for Cancer Research"	[Default policy]	US	yellow	cannot	FALSE		restricted	FALSE	12	can	FALSE		Paid OA options	public	2017-06-23
318	"American Association for Clinical Chemistry"	[Default policy]	US	white	restricted	FALSE	12	restricted	FALSE	12	unclear	FALSE			public	2014-10-08
2297	"American Association for the Advancement of Science"	"Science Advances"	US	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2015-06-04
3	"American Association for the Advancement of Science"	[Default policy]	US	green	cannot	FALSE		can	FALSE		can	FALSE			public	2016-04-22
124	"American Association of Australian Literary Studies"	[Default policy]	US	blue	can	FALSE		can	FALSE		cannot	FALSE			public	2007-09-10
451	"American Association of Cereal Chemists"	[Default policy]	US	yellow	restricted	TRUE		cannot	FALSE		can	FALSE			public	2008-09-04
663	"American Association of Critical Care Nurses"	[Default policy]	US	white	unknown	FALSE		restricted	TRUE		cannot	FALSE			public	2011-07-22
214	"American Association of Immunologists"	[Default policy]	US	green	cannot	FALSE		can	FALSE		can	FALSE		Paid OA options	public	2017-02-24
324	"American Association of Neurological Surgeons"	[Default policy]	US	white	unknown	FALSE		cannot	FALSE		cannot	FALSE			public	2009-10-28
634	"American Association of Petroleum Geologists"	[Default policy]	US	white	cannot	FALSE		restricted	FALSE	12	cannot	FALSE		Paid OA options	public	2015-11-18
313	"American Association of Pharmaceutical Scientists"	[Default policy]	US	green	cannot	FALSE		can	FALSE		can	FALSE		Paid OA options	public	2013-03-21
1735	"American Association of Physicists in Medicine"	"Medical Physics"	US	white	cannot	FALSE		restricted	FALSE	12	unclear	FALSE		Paid OA options	public	2015-10-02
669	"American Association of Physicists in Medicine"	[Default policy]	US	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2013-12-05
311	"American Association of Physics Teachers"	[Default policy]	US	blue	can	FALSE		can	FALSE		unclear	FALSE			public	2009-01-07
1907	"American Association of Teachers of Slavic and East European Languages"	[Default policy]	US	white	restricted	TRUE		cannot	FALSE		unclear	FALSE			public	2014-05-08
170	"American Association of Veterinary Laboratory Diagnosticians"	[Default policy]	US	blue	can	FALSE		cannot	FALSE		cannot	FALSE			public	2009-01-07
1405	"American Association of Zoo Veterinarians"	[Default policy]	US	white	cannot	FALSE		cannot	FALSE		cannot	FALSE			public	2012-12-14
527	"American Association on Intellectual and Developmental Disabilities (AAIDD)"	[Default policy]	US	blue	cannot	FALSE		can	FALSE		unclear	FALSE			public	2016-01-06
767	"American Astronautical Society"	[Default policy]	US	white	unknown	FALSE		unclear	FALSE		unclear	FALSE			public	2010-05-10
129	"American Astronomical Society"	[Default policy]	US	green	can	FALSE		can	FALSE		can	FALSE		Paid OA options	public	2017-08-15
632	"American Bar Association"	[Default policy]	US	white	unknown	FALSE		cannot	FALSE		cannot	FALSE			public	2011-08-12
761	"American Bryological and Lichenological Society"	[Default policy]	US	white	cannot	FALSE		cannot	FALSE		unclear	FALSE			public	2011-08-12
2875	"American Chemical Society"	"Open Access Titles"	US	white	restricted	FALSE	12	restricted	FALSE	12	restricted	TRUE		All journals OA	public	2016-09-19
4	"American Chemical Society"	[Default policy]	US	white	cannot	FALSE		restricted	TRUE	12	restricted	TRUE		Paid OA options	public	2016-09-19
602	"American Chemical Society, Division of Chemical Education"	[Default policy]	US	white	cannot	FALSE		cannot	FALSE		unclear	FALSE		Paid OA options	public	2011-02-09
2777	"American Cleft Palate-Craniofacial Association"	[Default policy]	US	white	cannot	FALSE		cannot	FALSE		cannot	FALSE			public	2016-04-28
437	"American College of Allergy, Asthma and Immunology"	[Default policy]	US	white	unknown	FALSE		cannot	FALSE		cannot	FALSE			public	2008-07-22
392	"American College of Chest Physicians (ACCP)"	[Default policy]	US	white	unknown	FALSE		cannot	FALSE		cannot	FALSE		Paid OA options	public	2009-11-05
461	"American College of Physicians"	[Default policy]	US	white	cannot	FALSE		restricted	FALSE	6	unclear	FALSE			public	2009-11-05
245	"American College of Sports Medicine (ACSM)"	[Default policy]	US	yellow	cannot	FALSE		restricted	FALSE	12	can	FALSE		Paid OA options	public	2016-03-04
639	"American College of Veterinary Pathologists"	[Default policy]	US	white	unknown	FALSE		unclear	FALSE		unclear	FALSE			public	2011-05-25
428	"American Concrete Institute"	[Default policy]	US	blue	unknown	FALSE		can	FALSE		unclear	FALSE			public	2014-09-18
679	"American Counseling Association"	[Default policy]	US	white	restricted	TRUE		restricted	TRUE		cannot	FALSE			public	2013-03-15
217	"American Dairy Science Association"	[Default policy]	US	blue	cannot	FALSE		can	FALSE		cannot	FALSE		Paid OA options	public	2016-11-24
263	"American Dental Association"	[Default policy]	US	white	unknown	FALSE		cannot	FALSE		cannot	FALSE			public	2011-01-05
718	"American Dental Education Association"	[Default policy]	US	blue	can	FALSE		cannot	FALSE		unclear	FALSE			public	2011-09-01
177	"American Diabetes Association"	[Default policy]	US	blue	cannot	FALSE		can	FALSE		unclear	FALSE			public	2016-07-19
5	"American Economic Association"	[Default policy]	US	green	can	FALSE		can	FALSE		can	FALSE			public	2017-06-26
1922	"American Educational Research Association, SIG-Service-Learning and Experiential Education"	[Default policy]	US	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2014-05-15
766	"American Entomological Society"	[Default policy]	US	white	unknown	FALSE		unclear	FALSE		unclear	FALSE			public	2010-05-10
408	"American Fisheries Society"	[Default policy]	US	green	can	FALSE		cannot	FALSE		can	FALSE			public	2013-03-15
1145	"American Folklore Society"	[Default policy]	US	green	can	FALSE		can	FALSE		can	FALSE			public	2014-06-11
764	"American Foundation for the Blind"	[Default policy]	US	green	cannot	FALSE		can	FALSE		can	FALSE			public	2012-10-11
301	"American Geographical Society"	[Default policy]	US	white	unknown	FALSE		cannot	FALSE		cannot	FALSE			public	2007-04-12
6	"American Geophysical Union (AGU)"	[Default policy]	US	green	restricted	FALSE		can	FALSE		can	FALSE		Paid OA options	public	2017-11-27
2703	"American Heart Association"	"JAHA"	US	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2015-10-02
209	"American Heart Association"	[Default policy]	US	white	cannot	FALSE		restricted	TRUE	6	unclear	FALSE		Paid OA options	public	2017-04-28
82	"American Institute of Aeronautics and Astronautics"	[Default policy]	US	green	cannot	FALSE		can	FALSE		can	FALSE			public	2015-09-10
233	"American Institute of Biological Sciences"	[Default policy]	US	blue	can	FALSE		can	FALSE		cannot	FALSE			public	2013-10-31
477	"American Institute of Mathematical Sciences (AIMS)"	[Default policy]	US	yellow	cannot	FALSE		restricted	FALSE	12	can	FALSE		Paid OA options	public	2014-10-02
651	"American Journal of Health Promotion"	[Default policy]	US	white	unknown	FALSE		cannot	FALSE		cannot	FALSE			public	2009-07-07
123	"American Library Association"	[Default policy]	US	green	can	FALSE		can	FALSE		can	FALSE			public	2017-08-18
637	"American Marketing Association"	[Default policy]	US	yellow	restricted	TRUE	12	cannot	FALSE		can	FALSE			public	2015-03-27
1954	"American Mathematical Society"	"Open Access"	US	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2014-06-04
83	"American Mathematical Society"	[Default policy]	US	green	cannot	FALSE		can	FALSE		can	FALSE			public	2015-04-10
1131	"American Medical Association (AMA)"	"JAMA"	US	white	restricted	TRUE	6	restricted	TRUE	6	cannot	FALSE			public	2017-11-24
8	"American Medical Association (AMA)"	[Default policy]	US	white	restricted	FALSE	12	restricted	FALSE	12	cannot	FALSE		Paid OA options	public	2017-11-24
9	"American Meteorological Society"	[Default policy]	US	yellow	restricted	FALSE	12	restricted	FALSE	12	can	FALSE		Paid OA options	public	2017-11-15
2987	"American Montessori Society"	[Default policy]	US	green	can	FALSE		can	FALSE		can	FALSE		All journals OA	public	2017-03-08
925	"American Mosquito Control Association"	[Default policy]	US	white	cannot	FALSE		cannot	FALSE		cannot	FALSE			public	2011-07-04
528	"American Nuclear Society"	[Default policy]	US	yellow	cannot	FALSE		restricted	FALSE	12	can	FALSE			public	2018-03-09
387	"American Occupational Therapy Association"	[Default policy]	US	white	unknown	FALSE		restricted	TRUE		unclear	FALSE		Paid OA options	public	2008-12-03
3077	"American Oriental Society"	[Default policy]	US	blue	can	FALSE		cannot	FALSE		cannot	FALSE			public	2017-08-17
10	"American Physical Society"	[Default policy]	US	green	can	FALSE		can	FALSE		can	FALSE		Paid OA options	public	2018-01-08
463	"American Physical Therapy Association (APTA)"	[Default policy]	US	white	unknown	FALSE		unclear	FALSE		unclear	FALSE			public	2010-10-01
11	"American Physiological Society"	[Default policy]	US	yellow	cannot	FALSE		restricted	FALSE	12	can	FALSE		Paid OA options	public	2016-02-09
326	"American Phytopathological Society"	[Default policy]	US	yellow	cannot	FALSE		cannot	FALSE		can	FALSE		Paid OA options	public	2015-01-09
262	"American Planning Association (APA)"	[Default policy]	US	white	unknown	FALSE		cannot	FALSE		cannot	FALSE			public	2011-08-12
352	"American Podiatric Medical Association"	[Default policy]	US	white	unclear	FALSE		cannot	FALSE		cannot	FALSE			public	2013-05-03
373	"American Psychiatric Publishing"	[Default policy]	US	yellow	cannot	FALSE		restricted	FALSE	12	can	FALSE			public	2015-05-22
12	"American Psychological Association"	[Default policy]	US	green	cannot	FALSE		can	FALSE		can	FALSE		Paid OA options	public	2017-10-02
13	"American Public Health Association"	[Default policy]	US	yellow	unknown	FALSE		cannot	FALSE		can	FALSE		Paid OA options	public	2015-07-30
2408	"American Real Estate Society"	[Default policy]	US	white	cannot	FALSE		cannot	FALSE		cannot	FALSE			public	2015-07-16
832	"American Roentgen Ray Society (ARRS)"	[Default policy]	US	white	unknown	FALSE		unclear	FALSE		unclear	FALSE			public	2010-10-25
1009	"American School of Classical Studies at Athens"	[Default policy]	GR	blue	can	FALSE		can	FALSE		cannot	FALSE			public	2011-05-16
1872	"American Schools of Oriental Research (ASOR)"	[Default policy]	US	white	unknown	FALSE		restricted	FALSE	12	unclear	FALSE			public	2014-04-16
529	"American Scientific Publishers"	[Default policy]	US	white	cannot	FALSE		cannot	FALSE		cannot	FALSE		Paid OA options	public	2015-03-30
113	"American Society for Biochemistry and Molecular Biology"	[Default policy]	US	green	restricted	FALSE		can	FALSE		can	FALSE		Paid OA options	public	2018-02-07
241	"American Society for Bone and Mineral Research"	[Default policy]	US	white	cannot	FALSE		restricted	FALSE	12	unclear	FALSE		Paid OA options	public	2014-04-15
1357	"American Society for Cell Biology"	"CBE-Life Sciences Education"	US	blue	can	FALSE		cannot	FALSE		cannot	FALSE			public	2012-10-04
201	"American Society for Cell Biology"	[Default policy]	US	green	can	FALSE		cannot	FALSE		can	FALSE			public	2016-03-04
15	"American Society for Clinical Investigation"	[Default policy]	US	blue	can	FALSE		can	FALSE		cannot	FALSE		All journals OA	public	2017-02-13
28	"American Society for Clinical Laboratory Science"	[Default policy]	US	white	unknown	FALSE		cannot	FALSE		cannot	FALSE			public	2006-11-13
1572	"American Society for Clinical Pharmacology and Therapeutics"	[Default policy]	US	white	cannot	FALSE		restricted	FALSE	12	unclear	FALSE		Paid OA options	public	2015-01-16
640	"American Society for Engineering Education"	[Default policy]	US	white	unknown	FALSE		unclear	FALSE		unclear	FALSE			public	2010-11-09
830	"American Society for Enology and Viticulture (ASEV)"	[Default policy]	US	blue	cannot	FALSE		can	FALSE		unclear	FALSE			public	2018-01-22
765	"American Society for Horticultural Science"	[Default policy]	US	white	unknown	FALSE		cannot	FALSE		unclear	FALSE		Paid OA options	public	2017-04-28
1590	"American Society for Investigative Pathology (ASIP)"	"Journal of Molecular Diagnostics"	US	white	unknown	FALSE		unclear	FALSE		unclear	FALSE		Paid OA options	public	2013-07-01
