Journal Title	ISSN	ESSN	RoMEO Record ID	Updated
ABC Journal of Advanced Research	2304-2621	2312-203X	2099	2014-09-11
Abdomen	2378-1351		2344	2015-06-22
Abdominal Imaging	0942-8925	1432-0509	74	2014-08-27
Abgadiyat	1687-8280	2213-8609	154	2016-01-22
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg	0025-5858	1865-8784	74	2014-05-16
ABI-Technik	0720-6763	2191-4664	414	2014-04-01
Abiotic and Biotic Stress Journal		2491-3901	2833	2016-07-21
ABM	1504-3738	1504-9159	1017	2011-06-16
ABM-skrift	1503-5972	1504-9167	1017	2011-06-16
ABO: Interactive Journal for Women in the Arts	2157-7129		1998	2014-08-12
ABO - Revista de Medicina Transfusional	0874-2731		867	2010-11-22
Aboriginal History Journal	0314-8769	1837-9389	1514	2016-08-31
About Campus		1536-0687	1499	2014-03-18
Abstract and Applied Analysis	1085-3375	1687-0409	100	2018-01-08
Abstract Bulletin of Paper Science and Technology	1523-388X		30	2015-05-01
Abstracts in Anthropology	0001-3455	1557-5136	65	2015-04-08
Abstracts of Papers Presented to the AMS	0192-5857		83	2015-04-10
Abstracts of Working Papers in Economics	0951-0079		1838	2014-04-29
Academia Revista Latinoamericana de Administración	1012-8255		31	2018-02-16
Academic and Library Computing	1055-4769		31	2018-02-16
Academic Book Guide	1567-7842		1133	2016-12-16
Academic Emergency Medicine	1069-6563	1553-2712	2050	2017-11-24
Academic Exchange Quarterly	1096-1453		1103	2012-01-30
Academic Journal of Applied Mathematical Sciences		2415-2188	2522	2016-04-15
Academic Journal of Economic Studies	2393-4913	2457-5836	2635	2016-01-04
Academic Journal of Life Sciences		2415-2137	2522	2016-04-15
Academic Medicine	1040-2446	1938-808X	48	2017-04-05
Academic Pathology		2374-2895	1403	2018-02-22
Academic Pediatrics	1876-2859		2823	2016-07-01
Academic Physician and Scientist	1093-1139		2261	2016-09-26
Academic Psychiatry	1042-9670	1545-7230	74	2014-10-10
Academic Questions	0895-4852	1936-4709	74	2014-08-28
Academic Radiology	1076-6332		2823	2016-07-01
Academicus	2079-3715	2309-1088	2332	2015-06-16
Academie voor Arbeidsrecht	2211-8780		2155	2014-11-18
Academische Boekengids	1567-7842		1133	2016-12-16
Academy of Contemporary Research Journal		2305-865X	1697	2013-10-30
Academy of Management Annals	1941-6520	1941-6067	1600	2015-03-23
Academy of Management Discoveries		2168-1007	2	2017-06-08
Academy of Management Executive	1079-5545		2	2017-06-08
Academy of Management Journal	0001-4273		2	2017-06-08
Academy of Management Learning and Education	1537-260X	1944-9585	2	2017-06-08
Academy of Management Perspectives	1558-9080	1943-4529	2	2017-06-08
Academy of Management Proceedings	0065-0668	2151-6561	2	2017-06-08
Academy of Management Review	0363-7425	1930-3807	2	2017-06-08
Acadiensis - Journal of the history of the Atlantic region	0044-5851		2520	2015-08-19
Acarologia	0044-586X	2107-7207	3022	2017-05-05
ACC Current Journal Review	1062-1458		30	2015-05-01
Accident Analysis and Prevention	0001-4575		30	2015-05-01
Accident and Emergency Nursing	0965-2302		30	2015-05-01
Accountability Forum	1742-7703		1640	2013-09-05
Accountability in Research	0898-9621	1545-5815	1141	2014-03-26
Accounting and Business Research	0001-4788	2159-4260	1140	2014-03-26
Accounting and Finance	0810-5391	1467-629X	2052	2017-11-24
Accounting and Finance Research	1927-5986	1927-5994	915	2014-07-28
Accounting and the Public Interest		1530-9320	633	2016-07-28
Accounting, Auditing and Accountability Journal	0951-3574		31	2018-02-16
Accounting, Economics and Law	2152-2820	2152-2820	414	2014-04-01
Accounting Education	0963-9284	1468-4489	1140	2014-03-26
Accounting Forum	0155-9982	1467-6303	30	2015-05-01
Accounting History	1032-3732	1749-3374	65	2013-03-11
Accounting History Review	2155-2851	2155-286X	1140	2014-03-26
Accounting Horizons	0888-7993	1558-7975	633	2016-07-28
Accounting in Europe	1744-9480	1744-9499	1140	2014-03-26
Accounting, Organizations and Society	0361-3682		2943	2017-01-10
Accounting Perspectives	1911-382X	1911-3838	646	2011-01-26
Accounting Research Journal	1030-9616		31	2018-02-16
Accounting Review	0001-4826	1558-7967	633	2016-07-28
Accounts of Chemical Research	0001-4842	1520-4898	4	2016-09-19
Accreditation and Quality Assurance	0949-1775	1432-0517	74	2014-08-27
ACEE International Journal on Civil and Environmental Engineering	2162-0180	2162-0199	1539	2013-04-29
ACEE International Journal on Transportation and Urban Development	2162-0067	2162-0075	1539	2013-04-29
ACEEE International Journal on Communication	2158-754X	2158-7558	1297	2012-08-22
Acetic Acid Bacteria		2240-2845	644	2016-11-24
ACM Computing Surveys	0360-0300	1557-7341	21	2016-04-13
ACM Journal on Emerging Technologies in Computing Systems	1550-4832	1550-4840	21	2016-04-13
ACM Journal on Experimental Algorithmics		1084-6654	21	2016-04-13
ACM Letters on Programming Languages and Systems	0164-0925	1558-4593	21	2016-04-13
ACM Transactions of Computing Education	1531-4278		21	2016-04-13
ACM Transactions on Accessible Computing	1936-7228	1936-7236	21	2016-04-13
ACM Transactions on Algorithms	1549-6325	1549-6333	21	2016-04-13
ACM Transactions on Applied Perception	1544-3558	1544-3965	21	2016-04-13
ACM Transactions on Architecture and Code Optimization	1544-3566	1544-3973	21	2016-04-13
ACM Transactions on Asian Language Information Processing	1530-0226	1558-3430	21	2016-04-13
ACM Transactions on Autonomous and Adaptive Systems	1556-4665	1556-4703	21	2016-04-13
ACM Transactions on Computation Theory	1942-3454	1942-3462	21	2016-04-13
ACM Transactions on Computational Logic	1529-3785	1557-945X	21	2016-04-13
ACM Transactions on Computer-Human Interaction	1073-0516	1557-7325	21	2016-04-13
ACM Transactions on Computer Systems	0734-2071	1557-7333	21	2016-04-13
ACM Transactions on Database Systems	0362-5915	1557-4644	21	2016-04-13
ACM Transactions on Economics and Computation	2167-8375	2167-8383	21	2016-04-13
ACM Transactions on Embedded Computing Systems	1539-9087	1558-3465	21	2016-11-30
ACM Transactions on Graphics	0730-0301	1557-7368	21	2016-04-13
ACM Transactions on Information and System Security	1094-9224	1557-7406	21	2016-04-13
ACM Transactions on Information Systems	1046-8188	1558-2868	21	2016-04-13
ACM Transactions on Intelligent Systems and Technology	2157-6904	2157-6912	21	2016-04-13
ACM Transactions on Interactive Intelligent Systems	2160-6455	2160-6463	21	2016-04-13
ACM Transactions on Internet Technology	1533-5399	1557-6051	21	2016-04-13
ACM Transactions on Knowledge Discovery from Data	1556-4681	1556-472X	21	2016-04-13
ACM Transactions on Management Information Systems	2158-656X	2158-6578	21	2016-04-13
ACM Transactions on Mathematical Software	0098-3500	1557-7295	21	2016-04-13
ACM Transactions on Modeling and Computer Simulation	1049-3301	1558-1195	21	2016-04-13
ACM Transactions on Multimedia Computing, Communications and Applications	1551-6857	1551-6865	21	2016-04-13
ACM Transactions on Parallel Computing	2329-4949	2329-4957	21	2016-04-13
ACM Transactions on Programming Languages and Systems	0164-0925	1558-4593	21	2016-04-13
ACM Transactions on Reconfigurable Technology and Systems	1936-7406	1936-7414	21	2016-04-13
ACM Transactions on Sensor Networks	1550-4859	1550-4867	21	2016-04-13
ACM Transactions on Software Engineering and Methodology	1049-331X	1557-7392	21	2016-04-13
ACM Transactions on Spatial Algorithms and Systems	2374-0353	2374-0361	21	2016-04-13
ACM - Transactions on Speech and Language Processing	1550-4875	1550-4883	21	2016-04-13
ACM Transactions on the Web	1559-1131	1559-114X	21	2016-04-13
ACME: An International E-Journal for Critical Geographies	1492-9732		953	2016-07-01
Acorn	1092-6534	2153-8263	1000	2016-04-15
Acoustical Arts and Artifacts, Technology, Aesthetics, Communication	1824-6176	1825-3873	774	2016-02-10
Acoustical Physics	1063-7710	1562-6865	141	2011-03-08
Acoustics Australia	0814-6039		518	2010-09-07
Acoustics Bulletin	0308-437X		608	2010-09-07
Acoustics Today	1557-0215		2772	2016-04-21
ACP Medicine	1547-1632	1547-1659	461	2012-03-05
Acrocephalus		0351-2851	1851	2018-05-02
Across Languages and Cultures	1585-1923	1588-2519	365	2016-06-07
ACS Applied Materials and Interfaces	1944-8244	1944-8252	4	2016-09-19
ACS Biomaterials Science and Engineering		2373-9878	4	2016-11-29
ACS Catalysis		2155-5435	4	2016-09-19
ACS Central Science		2374-7951	2875	2016-09-19
ACS Chemical Biology	1554-8929	1554-8937	4	2016-09-19
ACS Chemical Neuroscience	1948-7193		4	2016-09-19
ACS Earth and Space Chemistry 		2472-3452	4	2017-07-19
ACS Energy Letters		2380-8195	4	2016-11-22
ACS Infectious Diseases		2373-8227	4	2016-09-19
ACS Macro Letters		2161-1653	4	2016-09-19
ACS Medicinal Chemistry Letters	1948-5875		4	2016-09-19
ACS Nano	1936-0851	1936-086X	4	2016-09-19
ACS Omega		2470-1343	2875	2016-09-19
ACS Photonics		2330-4022	4	2016-09-19
ACS Surgery: Principles and Practice		1547-1616	485	2012-03-05
ACS Sustainable Chemistry and Engineering		2168-0485	4	2016-09-19
ACS Symposium Series	0097-6156	1947-5918	4	2016-09-19
ACS Synthetic Biology		2161-5063	4	2016-09-19
ACSM's Health and Fitness Journal	1091-5397	1536-593X	2261	2016-09-26
Acta Acustica united with Acustica	1610-1928	1861-9959	1406	2012-12-17
Acta Advances in Agricultural Sciences - Home		2345-6817	1936	2014-05-22
Acta Agraria Debreceniensis - Agrártudományi Közlemények		1587-1282	2751	2016-07-01
Acta Agriculturae Scandinavica, Section A - Animal Science	0906-4702	1651-1972	1141	2014-03-26
Acta Agriculturae Scandinavica, Section B - Soil and Plant Science	0906-4710	1651-1913	1141	2014-03-26
Acta Agriculturæ Scandinavica, Section C - Food Economics	2164-828X	2164-8298	1140	2014-03-26
Acta Agriculturae Slovenica	1581-9175	1854-1941	2761	2016-04-15
Acta Agrobotanica	0065-0951	2300-357X	1653	2016-09-27
Acta Agronómica	0120-2812		686	2016-07-19
Acta Agronomica Hungarica	0238-0161	1588-2527	365	2016-06-07
Acta Agronomica Sinica	1875-2780		30	2015-05-01
Acta Alimentaria	0139-3006	1588-2535	365	2016-06-07
Acta Anaesthesiologica Scandinavica	0001-5172	1399-6576	580	2017-11-24
Acta Anaesthesiologica Taiwanica	1875-4597		30	2015-05-01
Acta Analytica	0353-5150	1874-6349	74	2014-08-28
Acta Anatomica	0001-5180	1421-9654	242	2018-03-29
Acta Antiqua	0044-5975	1588-2543	365	2016-06-07
Acta Applicandae Mathematicae	0167-8019	1572-9036	74	2014-05-16
Acta Archaeologica	0065-101X	1600-0390	2052	2017-11-24
Acta Arithmetica	0065-1036	1730-6264	401	2016-04-20
Acta Astronautica	0094-5765		30	2015-05-01
Acta Automatica Sinica	1874-1029		30	2015-05-01
Acta Baltico-Slavica	0065-1044	2392-2389	2213	2015-06-12
Acta Biochimica et Biophysica Sinica	1672-9145	1745-7270	1476	2017-05-30
Acta Biochimica Polonica	0001-527X	1734-154X	2609	2015-11-16
Acta Biológica Colombiana	0120-548X	1900-1649	686	2016-07-19
Acta Biologica Cracoviensia Series Botanica		1898-0295	1851	2018-05-02
Acta Biologica Debrecina. Supplementum oecologica hungarica	0236-8684		1191	2012-04-03
Acta Biologica Hungarica	0236-5383	1588-256X	365	2016-06-07
Acta Biomaterialia	1742-7061	1878-7568	30	2017-12-12
Acta Biotechnologica	0138-4988	1521-3846	1554	2013-07-30
Acta Biotheoretica	0001-5342	1572-8358	74	2014-08-28
Acta Borealia	0800-3831	1503-111X	1140	2014-03-26
Acta Botanica Croatica		0365-0588	1851	2018-05-02
Acta Botanica Gallica	1253-8078	2166-3408	1141	2014-03-26
Acta Botanica Hungarica	0236-6495	1588-2578	365	2016-06-07
Acta Cardiologica	0001-5385	0373-7934	1141	2017-07-18
Acta Chemica Iasi		2067-2446	1851	2018-05-02
Acta Chimica Sinica	1001-604X	1614-7065	79	2017-11-24
Acta Chimica Slovaca		1337-978X	1851	2018-05-02
Acta Chirurgica Belgica		0001-5458	1141	2018-02-19
Acta Chirurgica Latviensis		1407-981X	1851	2018-05-02
Acta Chromatographica	1233-2356		3112	2017-10-19
Acta Classica Universitatis Scientiarum Debreceniensis		0418-453X	2753	2016-07-01
Acta Clinica Belgica	1784-3286		1141	2016-04-13
Acta Commercii	2413-1903	1684-1999	971	2018-02-09
Acta Crystallographica	0365-110X		332	2014-04-25
Acta Crystallographica Section A: Crystal physics, diffraction, theoretical and general crystallography	0567-7394		332	2014-04-25
Acta Crystallographica Section A: Foundations and Advances		2053-2733	332	2015-07-14
Acta crystallographica Section B: Structural crystallography and crystal chemistry	0567-7408		332	2014-04-25
Acta Crystallographica Section B: Structural Science	0108-7681	1600-5740	332	2014-04-25
Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials	2052-5192	2052-5206	332	2016-04-28
Acta Crystallographica Section C: Crystal Structure Communications	0108-2701	1600-5759	332	2014-04-25
Acta Crystallographica Section C: Structural Chemistry		2053-2296	332	2015-07-14
Acta Crystallographica Section D: Biological Crystallography	0907-4449	1399-0047	332	2014-04-25
Acta Crystallographica Section E: Crystallographic Communications		2056-9890	1886	2016-04-28
Acta Crystallographica Section E: Structure Reports Online	1600-5368		1886	2014-04-25
Acta Crystallographica Section F: Structural Biology and Crystallization Communications	1744-3091		332	2014-04-25
Acta Crystallographica Section F: Structural Biology Communications		2053-230X	332	2014-04-25
Acta Cytologica	0001-5547	1938-2650	242	2016-06-29
Acta Dermato-Venereologica	0001-5555	1651-2057	723	2011-08-26
Acta Dermato-Venereologica Supplementum	0365-8341		723	2011-08-26
Acta Dermatovenerologica Alpina, Pannonica et Adriatica		1581-2979	1851	2018-05-02
Acta Diabetologica	0940-5429	1432-5233	74	2014-08-28
Acta Didactica Norge		1504-9922	1066	2011-10-21
Acta Ecologica Sinica	1872-2032		30	2015-05-01
Acta Electrotechnica et Informatica		1338-3957	1851	2018-05-02
Acta Endoscopica	0240-642X	1958-5454	74	2014-05-16
Acta et Commentationes Universitatis Tartuensis de Mathematica	1406-2283	2228-4699	1583	2013-09-24
Acta Ethnographica Hungarica	1216-9803	1588-2586	365	2016-06-07
Acta ethologica	0873-9749	1437-9546	74	2014-05-16
Acta Facultatis Medicae Naissensis		2217-2521	1851	2018-05-02
Acta Facultatis Pharmaceuticae Universitatis Comenianae		1338-6786	1851	2018-05-02
Acta Futura		2309-1940	2179	2015-01-13
Acta Fytotechnica et Zootechnica	1335-258X	1336-9245	1680	2013-10-11
Acta Gastro-Enterologica Belgica	1784-3227		2432	2015-07-30
Acta Gastroenterologica Belgica		0001-5644	2477	2015-08-18
Acta Genetica Sinica	0379-4172		30	2015-05-01
Acta Geochimica	2096-0956	2365-7499	74	2017-05-30
Acta Geodaetica et Geophysica	2213-5812	2213-5820	74	2014-08-27
Acta Geodaetica et Geophysica Hungarica	1217-8977	1587-1037	365	2016-06-07
Acta Geographica Debrecina Landscape and Environment	1789-4921	1789-7556	2748	2016-07-01
Acta Geographica Slovenica	1581-6613	1581-8314	296	2010-09-06
Acta Geologica Hungarica	0236-5278	1588-2594	365	2016-06-07
Acta Geologica Polonica		2300-1887	1851	2018-05-02
Acta Geologica Sinica - English Edition		1755-6724	2050	2017-11-24
Acta Geophysica	1895-6572	1895-7455	1851	2018-05-02
Acta Geotechnica	1861-1125	1861-1133	74	2014-08-28
Acta Germanica	0065-1273		1084	2018-03-13
Acta Gymnica		2336-4912	2956	2017-02-08
Acta Haematologica	0001-5792	1421-9662	242	2016-06-29
Acta Haematologica Polonica	0001-5814		2823	2017-08-08
Acta Herpetologica	1827-9635	1827-9643	1932	2014-05-22
Acta Histochemica	0065-1281		2823	2017-08-08
Acta Historiae Artium	0001-5830	1588-2608	365	2016-06-07
Acta Horti Botanici Bucurestiensis		2359-7089	1851	2018-05-02
Acta Horticulturae	0567-7572		378	2018-01-19
Acta hydrochimica et hydrobiologica	0323-4320	1521-401X	79	2017-11-24
ACta Ichthyologica et Piscatoria	0137-1592	1734-1515	2426	2015-07-23
Acta Informatica	0001-5903	1432-0525	74	2014-08-28
Acta Juridica	0065-1346	1996-2088	1900	2018-01-05
Acta Juridica Hungarica	1216-2574	1588-2616	74	2014-05-16
Acta Kinesiologiae Universitatis Tartuensis	1406-9822	2228-3501	1583	2013-09-24
Acta Linguistica Hafniensia	0374-0463	1949-0763	1140	2014-03-26
Acta Linguistica Hungarica	1216-8076	1588-2624	74	2014-05-16
Acta Materialia	1359-6454		30	2015-05-01
Acta Mathematica	0001-5962	1871-2509	1048	2017-09-11
Acta Mathematica Hungarica	0236-5294	1588-2632	74	2014-05-16
Acta Mathematica Scientia	0252-9602		30	2015-05-01
Acta Mathematica Sinica	1439-8516	1439-7617	74	2014-05-16
Acta Mathematica Sinica, English Series	1439-8516	1439-7617	74	2014-08-27
Acta Mathematica Vietnamica	0251-4184	2315-4144	74	2014-08-27
Acta Mathematicae Applicatae Sinica	0168-9673	1618-3932	74	2014-05-16
Acta Mechanica	0001-5970	1619-6937	74	2014-08-28
Acta Mechanica et Automatica		2300-5319	1851	2018-05-02
Acta Mechanica Sinica	0567-7718	1614-3116	74	2014-08-28
Acta Mechanica Slovaca		1335-2393	1851	2018-05-02
Acta Mechanica Solida Sinica	0894-9166		30	2015-05-01
Acta Medica Austriaca	0303-8173	1563-2571	1499	2014-03-18
Acta Medica International	2349-0578	2349-0896	2026	2016-03-01
Acta Medica Iranica	0044-6025	1735-9694	1208	2012-03-29
Acta Medica Marisiensis		2247-6113	1851	2018-05-02
Acta Medica Martiniana		1335-8421	1851	2018-05-02
Acta Médica Portuguesa		1646-0758	1049	2018-02-05
Acta Medicinae et Sociologica		2062-0284	2947	2018-01-18
Acta Metallurgica Sinica	1006-7191		74	2014-10-10
Acta Metallurgica Sinica (English Letters)	1006-7191	2194-1289	74	2014-08-27
Acta Meteorologica Sinica		0894-0525	74	2014-05-16
Acta Microbiologica		2386-687X	3093	2017-09-12
Acta Microbiologica et Immunologica Hungarica	1217-8950	1588-2640	365	2016-06-07
Acta Mycologica	0001-625X	2353-074X	1653	2016-09-27
Acta Neerlandica	1585-7948		1197	2012-03-06
Acta Neurochirurgica	0001-6268	0942-0940	74	2014-08-28
Acta Neurologica Belgica	0300-9009	2240-2993	74	2014-08-28
Acta Neurologica Scandinavica	0001-6314	1600-0404	2050	2017-11-24
Acta Neuropathologica	0001-6322	1432-0533	74	2014-08-28
Acta Neuropathologica Communications		2051-5960	22	2015-11-23
Acta Neuropsychiatrica	0924-2708	1601-5215	2127	2014-10-07
Acta Numerica	0962-4929	1474-0508	2127	2014-10-07
Acta Obstetricia et Gynecologica Scandinavica	0001-6349	1600-0412	2050	2017-11-24
Acta Oceanologica Sinica	0253-505X	1869-1099	74	2014-05-16
Acta Odontologica Scandinavica	0001-6357	1502-3850	1141	2014-03-26
Acta Odontologica Turcica		2147-690X	1636	2017-06-30
Acta Oecologica	1146-609X		30	2015-05-01
Acta Oeconomica	0001-6373	1588-2659	365	2016-06-07
Acta Oncologica	0284-186X	1651-226X	1141	2014-03-26
Acta Ophthalmologica	1755-375X	1755-3768	580	2017-11-24
Acta Orientalia	0001-6446	1588-2667	365	2016-06-07
Acta Orthopaedica	1745-3674	1745-3682	2359	2015-06-17
Acta Oto-laryngologica	0001-6489	1651-2251	1141	2014-03-26
Acta Otorrinolaringologica	2173-5735		990	2015-05-01
Acta Otorrinolaringológica Española	0001-6519	1988-3013	990	2018-05-03
Acta Paediatrica	0803-5253	1651-2227	2050	2017-11-24
Acta Paediatrica Scandinavica		0001-656X	580	2017-11-24
Acta Palaeobotanica		2082-0259	1851	2018-05-02
Acta Palaeontologica Polonica	0567-7920	1732-2421	972	2013-08-07
Acta Parasitologica	1230-2821	1896-1851	1851	2018-05-02
Acta Pediátrica Portuguesa	0873-9781		881	2012-09-28
Acta Pharmaceutica		1846-9558	1851	2018-05-02
Acta Pharmaceutica Sinica B	2211-3835		30	2015-05-01
Acta Pharmacologica Sinica	1671-4083	1745-7254	2897	2016-11-09
Acta Philosophica Fennica		0355-1792	3198	2018-02-16
Acta Philosphica, Rivista internazionale di filosofia	1121-2179	1825-6562	774	2016-02-10
Acta Phlebologica	1593-232X	1827-1766	2936	2016-12-16
Acta physica Academiae Scientiarum Hungaricae	0001-6705		74	2014-05-16
Acta Physica Hungarica	0231-4428		74	2014-05-16
Acta Physica Hungarica A) Heavy Ion Physics	1219-7580	1588-2675	74	2014-05-16
Acta Physica Hungarica B: Quantum Electronics	1589-9535	1786-3767	74	2014-05-16
Acta Physica Polonica B	0587-4254		3130	2018-01-08
Acta Physica Slovaca		1336-040X	1851	2018-05-02
Acta Physico-Chimica Sinica	1872-1508		30	2015-05-01
Acta Physiologiae Plantarum	0137-5881	1861-1664	74	2014-08-28
Acta Physiologica	1748-1708	1748-1716	2050	2017-11-24
Acta Physiologica Hungarica	0231-424X	1588-2683	365	2016-06-07
Acta Phytopathologica et Entomologica Hungarica	0238-1249	1588-2691	365	2016-06-07
Acta Politica	0001-6810	1741-1416	210	2015-11-23
Acta Polymerica	0323-7648	1521-4044	79	2017-11-24
Acta Psychiatrica Scandinavica	0001-690X	1600-0447	2050	2017-11-24
Acta Psychologica	0001-6918		30	2015-05-01
Acta Radiologica	0284-1851	1600-0455	3177	2018-02-05
Acta Radiologica Open		2058-4601	1403	2018-02-22
Acta Radiologica Short Reports		2047-9816	65	2013-07-04
Acta Reumatologica Portuguesa	0303-464X		883	2010-11-22
Acta Scientiarum. Agronomy	1679-9275	1807-8621	2490	2015-10-08
Acta Scientiarum. Animal Sciences		1807-8672	2490	2015-10-08
Acta Scientiarum. Biological Sciences		1807-863X	2490	2015-10-08
Acta Scientiarum. Education		2178-5201	2490	2015-10-08
Acta Scientiarum. Health Sciences		1807-8648	2490	2015-10-08
Acta Scientiarum. Human and Social Sciences		1807-8656	2490	2016-02-12
Acta Scientiarum. Language and Culture		1983-4683	2490	2015-10-08
Acta Scientiarum. Technology		1807-8664	2490	2015-10-08
Acta Seismologica Sinica	1000-9116	1993-1344	74	2014-05-16
Acta Silvatica et Lignaria Hungarica		1787-064X	1851	2018-05-02
Acta Societatis Botanicorum Poloniae	0001-6977	2083-9480	1653	2016-09-27
Acta Sociologica	0001-6993	1502-3869	65	2013-03-11
Acta Technologica Agriculturae		1338-5267	1851	2018-05-02
Acta Theologica	1015-8758		1550	2013-05-23
Acta Theriologica	0001-7051	2190-3743	294	2014-08-28
Acta Tropica	0001-706X		2823	2016-07-01
Acta Universitatis Cibiniensis. Series E: Food Technology		2344-150X	1851	2018-05-02
Acta Universitatis Nicolai Copernici Archeologia		0137-6616	1963	2014-06-27
Acta Universitatis Nicolai Copernici Ekonomia		2080-0339	1963	2014-06-27
Acta Universitatis Nicolai Copernici Pedagogika		0208-5313	1963	2014-06-27
Acta Universitatis Nicolai Copernici Zabytkoznawstwo i Konserwatorstwo		0208-533X	1963	2014-06-27
Acta Universitatis Nicolai Copernici Zarządzanie		0860-1232	1963	2014-06-27
Acta Universitatis Sapientiae, Agriculture and Environment		2068-2964	1851	2018-05-02
Acta Universitatis Sapientiae, Economics and Business		2343-8894	1851	2018-05-02
Acta Universitatis Sapientiae, Informatica		2066-7760	1851	2018-05-02
Acta Universitatis Sapientiae, Philologica		2068-2956	1851	2018-05-02
Acta Veterinaria		1820-7448	1851	2018-05-02
Acta Veterinaria Hungarica	0236-6290	1588-2705	365	2016-06-07
Acta Veterinaria Scandinavica		1751-0147	22	2015-11-23
Acta Vulcanologica	1121-9114	1724-0425	774	2016-02-10
Acta Vulnologica	1721-2596	1827-1774	2936	2016-12-16
Acta Zoologica	0001-7272	1463-6395	2050	2017-11-24
Acta Zoologica Academiae Scientiarum Hungaricae	1217-8837		1192	2012-04-03
Actas Dermo-Sifiliográficas	0001-7310	1578-2190	990	2018-05-03
Actas Dermo-Sifiliográficas (English Edition)	1578-2190		990	2018-05-03
Actas Urológicas Españolas	0210-4806	1699-7980	990	2015-05-01
Actas Urológicas Españolas (English Edition)	2173-5786		990	2018-05-03
Actes d'Història de la Ciència i de la Tècnica	2013-1666	2013-9640	777	2012-11-20
Actes de la Chaire Glaverbel d'études européennes	1377-476X		1084	2018-03-13
Actes de la Recherche en Sciences Sociales	0335-5322		513	2011-01-25
Actes de savoirs	1955-6128		604	2012-08-24
Action, Criticism, and Theory for Music Education		1545-4517	3235	2018-04-11
Action in Teacher Education	0162-6620	2158-6098	1600	2014-03-26
Action Learning: Research and Practice	1476-7333	1476-7341	1140	2014-03-26
Action publique / Public Action	1783-6077		1084	2018-03-13
Action Research	1476-7503	1741-2617	65	2013-03-11
Active Aging Today		2164-392X	300	2017-02-02
Active and Passive Electronic Components	0882-7516	1563-5031	100	2018-01-08
Active Learning in Higher Education	1469-7874	1741-2625	65	2013-03-11
Actividad Dietética	1138-0322		990	2015-05-01
Activitas Nervosa Superior	2510-2788	1802-9698	74	2017-02-06
Activities, Adaptation and Aging	0192-4788	1544-4368	1139	2014-03-26
Activities of the Conference: Resolutions of the Council of Ministers of Transport and Reports Approved	1563-048X	2220-7422	725	2011-03-28
Actual Gynecology And Obstetrics	1803-9588		1658	2013-09-24
Actual Infectology	2312-413X	2312-4148	2899	2016-11-16
Actualidades en Psicología		0258-6444	1364	2013-09-24
Actualidades Investigativas en Educación		1409-4703	1364	2013-09-24
Actualités Odonto-Stomatologiques	0001-7817	1760-611X	137	2013-02-27
Actualités Pharmaceutiques	0515-3700		30	2015-05-01
Actualités Pharmaceutiques Hospitalières	1769-7344		30	2015-05-01
Actuators		2076-0825	487	2016-12-14
Actuel Marx	0994-4524		604	2012-08-24
Acupuncture and Electro-Therapeutics Research	0360-1293		771	2011-09-30
Acupuncture and Related Therapies	2211-7660		30	2015-05-01
Acupuncture in Medicine	0964-5284	1759-9873	25	2017-10-09
