Journal Title	RoMEO Record ID	Updated
ACM Transactions on Modeling and Computer Simulation	21	2016-04-13
ACM Transactions on Multimedia Computing, Communications and Applications	21	2016-04-13
ACM Transactions on Parallel Computing	21	2016-04-13
ACM Transactions on Programming Languages and Systems	21	2016-04-13
ACM Transactions on Reconfigurable Technology and Systems	21	2016-04-13
ACM Transactions on Sensor Networks	21	2016-04-13
ACM Transactions on Software Engineering and Methodology	21	2016-04-13
ACM Transactions on Spatial Algorithms and Systems	21	2016-04-13
ACM - Transactions on Speech and Language Processing	21	2016-04-13
ACM Transactions on the Web	21	2016-04-13
ACME: An International E-Journal for Critical Geographies	953	2016-07-01
Acorn	1000	2016-04-15
Acoustical Arts and Artifacts, Technology, Aesthetics, Communication	774	2016-02-10
Acoustical Physics	141	2011-03-08
Acoustics Australia	518	2010-09-07
Acoustics Bulletin	608	2010-09-07
Acoustics Today	2772	2016-04-21
ACP Medicine	461	2012-03-05
Acrocephalus	1851	2018-05-02
Across Languages and Cultures	365	2016-06-07
ACS Applied Materials and Interfaces	4	2016-09-19
ACS Biomaterials Science and Engineering	4	2016-11-29
ACS Catalysis	4	2016-09-19
ACS Central Science	2875	2016-09-19
ACS Chemical Biology	4	2016-09-19
ACS Chemical Neuroscience	4	2016-09-19
ACS Earth and Space Chemistry 	4	2017-07-19
ACS Energy Letters	4	2016-11-22
ACS Infectious Diseases	4	2016-09-19
ACS Macro Letters	4	2016-09-19
ACS Medicinal Chemistry Letters	4	2016-09-19
ACS Nano	4	2016-09-19
ACS Omega	2875	2016-09-19
ACS Photonics	4	2016-09-19
ACS Surgery: Principles and Practice	485	2012-03-05
ACS Sustainable Chemistry and Engineering	4	2016-09-19
ACS Symposium Series	4	2016-09-19
ACS Synthetic Biology	4	2016-09-19
ACSM's Health and Fitness Journal	2261	2016-09-26
Acta Acustica united with Acustica	1406	2012-12-17
Acta Advances in Agricultural Sciences - Home	1936	2014-05-22
Acta Agraria Debreceniensis - Agrártudományi Közlemények	2751	2016-07-01
Acta Agriculturae Scandinavica, Section A - Animal Science	1141	2014-03-26
Acta Agriculturae Scandinavica, Section B - Soil and Plant Science	1141	2014-03-26
Acta Agriculturæ Scandinavica, Section C - Food Economics	1140	2014-03-26
Acta Agriculturae Slovenica	2761	2016-04-15
Acta Agrobotanica	1653	2016-09-27
Acta Agronómica	686	2016-07-19
Acta Agronomica Hungarica	365	2016-06-07
Acta Agronomica Sinica	30	2015-05-01
Acta Alimentaria	365	2016-06-07
Acta Anaesthesiologica Scandinavica	580	2017-11-24
Acta Anaesthesiologica Taiwanica	30	2015-05-01
Acta Analytica	74	2014-08-28
Acta Anatomica	242	2018-03-29
Acta Antiqua	365	2016-06-07
Acta Applicandae Mathematicae	74	2014-05-16
Acta Archaeologica	2052	2017-11-24
Acta Arithmetica	401	2016-04-20
Acta Astronautica	30	2015-05-01
Acta Automatica Sinica	30	2015-05-01
Acta Baltico-Slavica	2213	2015-06-12
Acta Biochimica et Biophysica Sinica	1476	2017-05-30
Acta Biochimica Polonica	2609	2015-11-16
Acta Biológica Colombiana	686	2016-07-19
Acta Biologica Cracoviensia Series Botanica	1851	2018-05-02
Acta Biologica Debrecina. Supplementum oecologica hungarica	1191	2012-04-03
Acta Biologica Hungarica	365	2016-06-07
Acta Biomaterialia	30	2017-12-12
Acta Biotechnologica	1554	2013-07-30
Acta Biotheoretica	74	2014-08-28
Acta Borealia	1140	2014-03-26
Acta Botanica Croatica	1851	2018-05-02
Acta Botanica Gallica	1141	2014-03-26
Acta Botanica Hungarica	365	2016-06-07
Acta Cardiologica	1141	2017-07-18
Acta Chemica Iasi	1851	2018-05-02
Acta Chimica Sinica	79	2017-11-24
Acta Chimica Slovaca	1851	2018-05-02
Acta Chirurgica Belgica	1141	2018-02-19
Acta Chirurgica Latviensis	1851	2018-05-02
Acta Chromatographica	3112	2017-10-19
Acta Classica Universitatis Scientiarum Debreceniensis	2753	2016-07-01
Acta Clinica Belgica	1141	2016-04-13
Acta Commercii	971	2018-02-09
Acta Crystallographica	332	2014-04-25
Acta Crystallographica Section A: Crystal physics, diffraction, theoretical and general crystallography	332	2014-04-25
Acta Crystallographica Section A: Foundations and Advances	332	2015-07-14
Acta crystallographica Section B: Structural crystallography and crystal chemistry	332	2014-04-25
Acta Crystallographica Section B: Structural Science	332	2014-04-25
Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials	332	2016-04-28
Acta Crystallographica Section C: Crystal Structure Communications	332	2014-04-25
Acta Crystallographica Section C: Structural Chemistry	332	2015-07-14
Acta Crystallographica Section D: Biological Crystallography	332	2014-04-25
Acta Crystallographica Section E: Crystallographic Communications	1886	2016-04-28
Acta Crystallographica Section E: Structure Reports Online	1886	2014-04-25
Acta Crystallographica Section F: Structural Biology and Crystallization Communications	332	2014-04-25
Acta Crystallographica Section F: Structural Biology Communications	332	2014-04-25
Acta Cytologica	242	2016-06-29
Acta Dermato-Venereologica	723	2011-08-26
Acta Dermato-Venereologica Supplementum	723	2011-08-26
Acta Dermatovenerologica Alpina, Pannonica et Adriatica	1851	2018-05-02
Acta Diabetologica	74	2014-08-28
Acta Didactica Norge	1066	2011-10-21
Acta Ecologica Sinica	30	2015-05-01
Acta Electrotechnica et Informatica	1851	2018-05-02
Acta Endoscopica	74	2014-05-16
Acta et Commentationes Universitatis Tartuensis de Mathematica	1583	2013-09-24
Acta Ethnographica Hungarica	365	2016-06-07
Acta ethologica	74	2014-05-16
Acta Facultatis Medicae Naissensis	1851	2018-05-02
Acta Facultatis Pharmaceuticae Universitatis Comenianae	1851	2018-05-02
Acta Futura	2179	2015-01-13
Acta Fytotechnica et Zootechnica	1680	2013-10-11
Acta Gastro-Enterologica Belgica	2432	2015-07-30
Acta Gastroenterologica Belgica	2477	2015-08-18
Acta Genetica Sinica	30	2015-05-01
Acta Geochimica	74	2017-05-30
Acta Geodaetica et Geophysica	74	2014-08-27
Acta Geodaetica et Geophysica Hungarica	365	2016-06-07
Acta Geographica Debrecina Landscape and Environment	2748	2016-07-01
Acta Geographica Slovenica	296	2010-09-06
Acta Geologica Hungarica	365	2016-06-07
Acta Geologica Polonica	1851	2018-05-02
Acta Geologica Sinica - English Edition	2050	2017-11-24
Acta Geophysica	1851	2018-05-02
Acta Geotechnica	74	2014-08-28
Acta Germanica	1084	2018-03-13
Acta Gymnica	2956	2017-02-08
Acta Haematologica	242	2016-06-29
Acta Haematologica Polonica	2823	2017-08-08
Acta Herpetologica	1932	2014-05-22
Acta Histochemica	2823	2017-08-08
Acta Historiae Artium	365	2016-06-07
Acta Horti Botanici Bucurestiensis	1851	2018-05-02
Acta Horticulturae	378	2018-01-19
Acta hydrochimica et hydrobiologica	79	2017-11-24
ACta Ichthyologica et Piscatoria	2426	2015-07-23
Acta Informatica	74	2014-08-28
Acta Juridica	1900	2018-01-05
Acta Juridica Hungarica	74	2014-05-16
Acta Kinesiologiae Universitatis Tartuensis	1583	2013-09-24
Acta Linguistica Hafniensia	1140	2014-03-26
Acta Linguistica Hungarica	74	2014-05-16
Acta Materialia	30	2015-05-01
Acta Mathematica	1048	2017-09-11
Acta Mathematica Hungarica	74	2014-05-16
Acta Mathematica Scientia	30	2015-05-01
Acta Mathematica Sinica	74	2014-05-16
Acta Mathematica Sinica, English Series	74	2014-08-27
Acta Mathematica Vietnamica	74	2014-08-27
Acta Mathematicae Applicatae Sinica	74	2014-05-16
Acta Mechanica	74	2014-08-28
Acta Mechanica et Automatica	1851	2018-05-02
Acta Mechanica Sinica	74	2014-08-28
Acta Mechanica Slovaca	1851	2018-05-02
Acta Mechanica Solida Sinica	30	2015-05-01
Acta Medica Austriaca	1499	2014-03-18
Acta Medica International	2026	2016-03-01
Acta Medica Iranica	1208	2012-03-29
Acta Medica Marisiensis	1851	2018-05-02
Acta Medica Martiniana	1851	2018-05-02
Acta Médica Portuguesa	1049	2018-02-05
Acta Medicinae et Sociologica	2947	2018-01-18
Acta Metallurgica Sinica	74	2014-10-10
Acta Metallurgica Sinica (English Letters)	74	2014-08-27
Acta Meteorologica Sinica	74	2014-05-16
Acta Microbiologica	3093	2017-09-12
Acta Microbiologica et Immunologica Hungarica	365	2016-06-07
Acta Mycologica	1653	2016-09-27
Acta Neerlandica	1197	2012-03-06
Acta Neurochirurgica	74	2014-08-28
Acta Neurologica Belgica	74	2014-08-28
Acta Neurologica Scandinavica	2050	2017-11-24
Acta Neuropathologica	74	2014-08-28
Acta Neuropathologica Communications	22	2015-11-23
Acta Neuropsychiatrica	2127	2014-10-07
Acta Numerica	2127	2014-10-07
Acta Obstetricia et Gynecologica Scandinavica	2050	2017-11-24
Acta Oceanologica Sinica	74	2014-05-16
Acta Odontologica Scandinavica	1141	2014-03-26
Acta Odontologica Turcica	1636	2017-06-30
Acta Oecologica	30	2015-05-01
Acta Oeconomica	365	2016-06-07
Acta Oncologica	1141	2014-03-26
Acta Ophthalmologica	580	2017-11-24
Acta Orientalia	365	2016-06-07
Acta Orthopaedica	2359	2015-06-17
Acta Oto-laryngologica	1141	2014-03-26
Acta Otorrinolaringologica	990	2015-05-01
Acta Otorrinolaringológica Española	990	2018-05-03
Acta Paediatrica	2050	2017-11-24
Acta Paediatrica Scandinavica	580	2017-11-24
Acta Palaeobotanica	1851	2018-05-02
Acta Palaeontologica Polonica	972	2013-08-07
Acta Parasitologica	1851	2018-05-02
Acta Pediátrica Portuguesa	881	2012-09-28
Acta Pharmaceutica	1851	2018-05-02
Acta Pharmaceutica Sinica B	30	2015-05-01
Acta Pharmacologica Sinica	2897	2016-11-09
Acta Philosophica Fennica	3198	2018-02-16
Acta Philosphica, Rivista internazionale di filosofia	774	2016-02-10
Acta Phlebologica	2936	2016-12-16
Acta physica Academiae Scientiarum Hungaricae	74	2014-05-16
Acta Physica Hungarica	74	2014-05-16
Acta Physica Hungarica A) Heavy Ion Physics	74	2014-05-16
Acta Physica Hungarica B: Quantum Electronics	74	2014-05-16
Acta Physica Polonica B	3130	2018-01-08
Acta Physica Slovaca	1851	2018-05-02
Acta Physico-Chimica Sinica	30	2015-05-01
Acta Physiologiae Plantarum	74	2014-08-28
Acta Physiologica	2050	2017-11-24
Acta Physiologica Hungarica	365	2016-06-07
Acta Phytopathologica et Entomologica Hungarica	365	2016-06-07
Acta Politica	210	2015-11-23
Acta Polymerica	79	2017-11-24
Acta Psychiatrica Scandinavica	2050	2017-11-24
Acta Psychologica	30	2015-05-01
Acta Radiologica	3177	2018-02-05
Acta Radiologica Open	1403	2018-02-22
Acta Radiologica Short Reports	65	2013-07-04
Acta Reumatologica Portuguesa	883	2010-11-22
Acta Scientiarum. Agronomy	2490	2015-10-08
Acta Scientiarum. Animal Sciences	2490	2015-10-08
Acta Scientiarum. Biological Sciences	2490	2015-10-08
Acta Scientiarum. Education	2490	2015-10-08
Acta Scientiarum. Health Sciences	2490	2015-10-08
Acta Scientiarum. Human and Social Sciences	2490	2016-02-12
Acta Scientiarum. Language and Culture	2490	2015-10-08
Acta Scientiarum. Technology	2490	2015-10-08
Acta Seismologica Sinica	74	2014-05-16
Acta Silvatica et Lignaria Hungarica	1851	2018-05-02
Acta Societatis Botanicorum Poloniae	1653	2016-09-27
Acta Sociologica	65	2013-03-11
Acta Technologica Agriculturae	1851	2018-05-02
Acta Theologica	1550	2013-05-23
Acta Theriologica	294	2014-08-28
Acta Tropica	2823	2016-07-01
Acta Universitatis Cibiniensis. Series E: Food Technology	1851	2018-05-02
Acta Universitatis Nicolai Copernici Archeologia	1963	2014-06-27
Acta Universitatis Nicolai Copernici Ekonomia	1963	2014-06-27
Acta Universitatis Nicolai Copernici Pedagogika	1963	2014-06-27
Acta Universitatis Nicolai Copernici Zabytkoznawstwo i Konserwatorstwo	1963	2014-06-27
Acta Universitatis Nicolai Copernici Zarządzanie	1963	2014-06-27
Acta Universitatis Sapientiae, Agriculture and Environment	1851	2018-05-02
Acta Universitatis Sapientiae, Economics and Business	1851	2018-05-02
Acta Universitatis Sapientiae, Informatica	1851	2018-05-02
Acta Universitatis Sapientiae, Philologica	1851	2018-05-02
Acta Veterinaria	1851	2018-05-02
Acta Veterinaria Hungarica	365	2016-06-07
Acta Veterinaria Scandinavica	22	2015-11-23
Acta Vulcanologica	774	2016-02-10
Acta Vulnologica	2936	2016-12-16
Acta Zoologica	2050	2017-11-24
Acta Zoologica Academiae Scientiarum Hungaricae	1192	2012-04-03
Actas Dermo-Sifiliográficas	990	2018-05-03
Actas Dermo-Sifiliográficas (English Edition)	990	2018-05-03
Actas Urológicas Españolas	990	2015-05-01
Actas Urológicas Españolas (English Edition)	990	2018-05-03
Actes d'Història de la Ciència i de la Tècnica	777	2012-11-20
Actes de la Chaire Glaverbel d'études européennes	1084	2018-03-13
Actes de la Recherche en Sciences Sociales	513	2011-01-25
Actes de savoirs	604	2012-08-24
Action, Criticism, and Theory for Music Education	3235	2018-04-11
Action in Teacher Education	1600	2014-03-26
Action Learning: Research and Practice	1140	2014-03-26
Action publique / Public Action	1084	2018-03-13
Action Research	65	2013-03-11
Active Aging Today	300	2017-02-02
Active and Passive Electronic Components	100	2018-01-08
Active Learning in Higher Education	65	2013-03-11
Actividad Dietética	990	2015-05-01
Activitas Nervosa Superior	74	2017-02-06
Activities, Adaptation and Aging	1139	2014-03-26
Activities of the Conference: Resolutions of the Council of Ministers of Transport and Reports Approved	725	2011-03-28
Actual Gynecology And Obstetrics	1658	2013-09-24
Actual Infectology	2899	2016-11-16
Actualidades en Psicología	1364	2013-09-24
Actualidades Investigativas en Educación	1364	2013-09-24
Actualités Odonto-Stomatologiques	137	2013-02-27
Actualités Pharmaceutiques	30	2015-05-01
Actualités Pharmaceutiques Hospitalières	30	2015-05-01
Actuators	487	2016-12-14
Actuel Marx	604	2012-08-24
Acupuncture and Electro-Therapeutics Research	771	2011-09-30
Acupuncture and Related Therapies	30	2015-05-01
Acupuncture in Medicine	25	2017-10-09
Acute Cardiac Care	1141	2014-03-26
Acute Medicine and Surgery	2050	2017-11-24
Acute Pain	30	2015-05-01
Ad Fontes	1084	2018-03-13
Ad Hoc Networks	30	2015-05-01
AD-minister	1645	2013-09-12
Ad verba Liberorum	1851	2018-05-02
Adaptation	1480	2017-01-13
Adapted Physical Activity Quarterly	300	2017-02-02
Adaptive Behavior	65	2013-03-11
Adaptive Human Behavior and Physiology	74	2014-08-27
Addiction	2050	2017-11-24
addiction and health	1414	2014-08-08
Addiction Biology	2050	2017-11-24
Addiction Genetics	1851	2018-05-02
Addiction Research and Theory	1141	2014-03-26
Addiction Science and Clinical Practice	22	2015-11-23
Addictive Behaviors	30	2015-05-01
Addictive Behaviors Reports	2252	2016-03-21
Addictive Disorders and Their Treatment	48	2016-09-26
Additive Manufacturing	30	2017-02-21
Additives for Polymers	265	2015-06-24
ADE Bulletin	1295	2012-06-29
Adelphi Papers	1600	2014-03-26
Adelphi Series	1600	2014-03-26
Adeptus	2213	2015-01-14
ADFL Bulletin	1295	2012-06-29
ADHD Attention Deficit and Hyperactivity Disorders	74	2014-08-28
ADHD in practice	3100	2017-10-02
ADHD Report	371	2018-02-22
Adhoc and Sensor Wireless Networks	503	2013-10-08
ADIP Magazine	2291	2015-08-21
Adipobiology	2021	2014-07-31
Adipocyte	1141	2014-11-27
Adipositas - Ursachen, Folgeerkrankungen, Therapie	243	2013-03-20
Administração: Ensino e Pesquisa	2666	2015-09-16
Administration and Policy in Mental Health and Mental Health Services Research	74	2014-08-28
Administration and Society	65	2013-03-11
Administration in Social Work	1139	2014-03-26
Administrative and Regulatory Law News	632	2011-08-12
Administrative Law Review	632	2011-08-12
Administrative Science Quarterly	3234	2018-04-09
Administrative Sciences	487	2016-12-14
Administrative Theory and Praxis	1140	2015-07-15
Adnotationes In Ius Canonicum	1084	2018-03-13
Adolescent Cultures, School, and Society	1084	2018-03-13
Adolescent Health, Medicine and Therapeutics	407	2014-01-30
Adolescent Psychiatry	316	2016-12-07
Adoption and Fostering	65	2013-06-17
Adoption Quarterly	1139	2014-03-26
adreizehn	2291	2015-08-21
Adsorption	74	2014-08-28
Adsorption Science and Technology	65	2016-12-15
Adult Education Quarterly	65	2013-03-11
Adult Learning	65	2013-06-17
Adultspan Journal	2050	2017-11-24
Advanced Arab Academy of Audio-Vestibulogy Journal	89	2017-03-09
Advanced Biomedical Research	89	2014-08-26
Advanced Composite Materials	1141	2014-03-26
Advanced Drug Delivery Reviews	2823	2018-01-17
Advanced Electronic Materials	2050	2017-11-24
Advanced Emergency Nursing Journal	48	2016-09-26
Advanced Energy Materials	2050	2017-11-24
Advanced Engineering Forum	303	2016-11-08
Advanced Engineering Informatics	30	2015-05-01
Advanced Engineering Materials	2050	2017-11-24
Advanced Functional Materials	2050	2017-11-24
Advanced Health Care Technologies	407	2014-01-30
Advanced Healthcare Materials	2050	2017-11-24
Advanced Materials	2050	2017-11-24
Advanced Materials Interfaces	2050	2017-11-24
Advanced Materials Research	303	2016-11-08
Advanced Materials Technologies	2050	2017-11-24
Advanced Modeling and Simulation in Engineering Sciences	948	2015-12-18
Advanced Optical Materials	2050	2017-11-24
Advanced Optical Technologies	414	2014-04-01
Advanced Performance Materials	74	2014-05-16
Advanced Pharmaceutical Bulletin	2922	2016-12-14
Advanced Powder Technology	30	2015-05-01
Advanced Robotics	1141	2014-03-26
Advanced Science	1032	2016-10-27
Advanced Science Letters	529	2017-02-28
Advanced Steel Construction	2639	2015-09-03
Advanced Structural and Chemical Imaging	948	2015-12-22
Advanced Studies (Estudios Avanzados)	2603	2015-09-08
Advanced Studies in Biology	1837	2014-05-15
Advanced Studies in Medical Sciences	1837	2014-05-15
Advanced Synthesis and Catalysis	2050	2017-11-24
Advanced Technology for Learning	483	2010-07-26
Advancements in Genetic Engineering	672	2015-04-28
Advances	335	2010-09-08
Advances and Applications in Bioinformatics and Chemistry	407	2014-01-30
Advances in Accounting	30	2015-05-01
Advances in Acoustics and Vibration	100	2018-01-08
Advances in Adaptive Data Analysis	155	2014-10-29
Advances in Aerospace Engineering	100	2018-01-08
Advances in Aerospace Science and Technology	1018	2017-11-09
Advances in Aging Research	1018	2014-11-19
Advances in Agriculture	100	2018-01-08
Advances in Alzheimer's Disease	1018	2014-11-19
Advances in Analytical Chemistry	1326	2012-09-04
Advances in Anatomic Pathology	48	2016-09-26
Advances in Anatomy	100	2018-01-08
Advances in Andrology	100	2018-01-08
Advances in Anesthesia	2823	2017-08-08
Advances in Anesthesiology	100	2018-01-08
Advances in Animal Biosciences	2129	2014-10-09
Advances in Anthropology	1018	2014-12-05
Advances in Applied Biomedicine	1007	2013-06-17
Advances in Applied Ceramics	1141	2016-04-13
Advances in Applied Clifford Algebras	74	2014-05-16
Advances in Applied Mathematics	1326	2012-11-14
Advances in Applied Probability	385	2017-06-27
Advances in Applied Sociology	1018	2014-11-19
Advances in Aquaculture and Fisheries Management	2634	2015-11-17
Advances in Archaeological Practice	3002	2017-07-17
Advances in Artificial Intelligence	100	2018-01-08
Advances in Artificial Neural Systems	100	2018-01-08
Advances in Astronomy	100	2018-01-08
Advances in Atmospheric Sciences	74	2014-08-28
Advances in Autism	31	2018-02-16
Advances in Automobile Engineering	672	2015-04-28
Advances in Bioinformatics	100	2018-01-08
Advances in Biological Chemistry	1018	2014-12-05
Advances in Biological Regulation	2823	2017-08-08
Advances in Biology	100	2018-01-08
Advances in Biomaterials	100	2018-01-08
Advances in Bioscience and Bioengineering	1928	2014-05-22
Advances in Bioscience and Biotechnology	1018	2014-11-19
Advances in Bioscience and Clinical Medicine	1813	2014-03-13
Advances in Botany	100	2018-01-08
Advances in Breast Cancer Research	1018	2014-11-19
Advances in Building Energy Research	1141	2014-03-26
Advances in Calculus of Variations	414	2014-04-01
Advances in Cell Biology	1851	2018-05-02
Advances in Cement Research	406	2018-03-28
Advances in Chemical Engineering and Science	1018	2014-11-19
Advances in Chemical Physics	1499	2014-03-18
Advances in Chemistry	100	2018-01-08
Advances in Chemistry and Biochemistry Sciences	2786	2016-05-19
Advances in Chronic Kidney Disease	985	2014-01-07
Advances in Civil Engineering	100	2018-01-08
Advances in Clinical Medicine	1326	2012-09-04
Advances in Clinical Neuroscience and Rehabilitation	339	2010-08-02
Advances in Colloid and Interface Science	30	2017-12-12
Advances in Complex Systems	155	2014-10-29
Advances in Computational Mathematics	74	2014-08-28
Advances in Computational Research	994	2013-08-09
Advances in Computed Tomography	1018	2014-11-19
Advances in Computer Engineering	100	2018-01-08
Advances In Computers	30	2015-05-01
Advances in Condensed Matter Physics	1326	2013-03-06
Advances in Contraception	74	2014-05-16
Advances in Critical Care	100	2018-01-08
Advances in Crop Science and Technology	672	2015-04-28
Advances in Dairy Research	672	2015-04-28
Advances in Data Analysis and Classification	74	2014-08-28
Advances in Decision Sciences	100	2018-01-08
Advances in Dermatology and Allergology	3007	2018-02-12
Advances in Developing Human Resources	65	2013-03-11
Advances in Difference Equations	948	2015-12-22
Advances in Differential Equations	734	2014-02-25
Advances in Dual Diagnosis	31	2018-02-16
Advances in Eating Disorders: Theory, Research and Practice	1139	2014-03-26
Advances in Ecology	100	2018-01-08
Advances in Education	1326	2012-09-04
Advances in Electrical and Computer Engineering	2489	2015-09-28
Advances in Electrical Engineering	100	2018-01-08
Advances in Electrochemical Science and Engineering	79	2017-11-24
Advances in Electronics	100	2018-01-08
Advances in Emergency Medicine	100	2018-01-08
Advances in Endocrinology	100	2018-01-08
Advances in Energy and Power Engineering	1326	2014-12-05
Advances in Engineering Education	640	2010-11-09
Advances in Engineering Software	30	2015-05-01
Advances in Entomology	1018	2014-12-05
Advances in Environmental Chemistry	100	2018-01-08
Advances in Environmental Protection	1326	2012-09-04
Advances in Enzyme Regulation	30	2015-05-01
